siret;nom_officiel;nature_juridique;activite;commune;code_postal
59635017300040;VIGNOBLES CLEMENT FAYAT (FAMILLE CLEMENT FAYAT);5710;01.21Z;PAREMPUYRE;33290
75063995700034;EXPERTS SOLIDAIRES;9220;94.99Z;MONTFERRIER-SUR-LEZ;34980
75313370100000;;;;;
75400983500010;CARMA FILMS (CARMA FILMS);5710;59.11A;SAINT-DENIS;93210
77558666200000;;;;;
77558666200014;ASSOCIATION LAIQUE LE PRADO (ALP);9220;87.90A;TALENCE;33400
77558666200071;ASSOCIATION LAIQUE LE PRADO (ALP);9220;87.90A;TALENCE;33400
77558666200337;ASSOCIATION LAIQUE LE PRADO (ALP);9220;87.90A;TALENCE;33400
77565757000104;FONDATION COS ALEXANDRE GLASBERG;9300;88.99B;PARIS;75003
77565757000377;FONDATION COS ALEXANDRE GLASBERG;9300;88.99B;PARIS;75003
77567137300154;PARIS JE T'AIME - OFFICE DE TOURISME;9220;79.90Z;PARIS;75003
77568090300058;INSTITUT TECHNOLOGIQUE FCBA (FORET CELLULOSE BOIS...) (FCBA);8470;72.19Z;CHAMPS-SUR-MARNE;77420
77568873208239;APF FRANCE HANDICAP (APF);9230;88.10B;PARIS;75013
77569790700068;UNION NATIONALE FEDERATION H L M (UNFOHLM);9220;94.12Z;PARIS;75008
78180454700060;COMITE REGIONAL DU TOURISME;9220;79.90Z;BORDEAUX;33000
78180455400000;;;;;
78180455400017;OFFICE DE TOURISME ET DES CONGRES DE BORDEAUX METROPOLE;9220;79.90Z;BORDEAUX;33000
78181271400017;HABITATS JEUNES LE LEVAIN;9220;55.90Z;BORDEAUX;33000
78181276300022;JEUNESSE HABITAT SOLIDAIRE (JHAS);9220;55.90Z;BORDEAUX;33800
78181448800000;;;;;
78181448800040;AGENCE D'URBANISME BORDEAUX AQUITAINE (A'URBA);9220;71.11Z;BORDEAUX;33300
78182415600041;THEATRE NATIONAL DE BORDEAUX EN AQUITAINE (TNBA);5710;90.01Z;BORDEAUX;33800
78184198600016;ASSOC CULTUELLE ISRAELITE;9220;94.91Z;BORDEAUX;33000
78184354500000;;;;;
78184354500026;ASSOCIATION HIPPODROME BORDEAUX-LE BOUSCAT;9220;01.62Z;LE BOUSCAT;33110
78184361000010;LA FLECHE DE BORDEAUX;9220;93.12Z;BORDEAUX;33800
78184375000000;;;;;
